steamid,personaname,loccountrycode,recent_playtime_hours,profileurl,two_weeks
76561199274289800,dog,,0.0,https://steamcommunity.com/profiles/76561199274289800/,51.97
76561198119487868,Niguś,PL,0.0,https://steamcommunity.com/id/mizski_/,20.62
76561198343465570,Skully,RO,0.0,https://steamcommunity.com/profiles/76561198343465570/,18.4
76561198261538638,CathOfR'lyeh,US,0.0,https://steamcommunity.com/profiles/76561198261538638/,210.03
76561198333194216,mr. diptard,,0.0,https://steamcommunity.com/profiles/76561198333194216/,66.77
76561199485610386,killum678,GB,0.0,https://steamcommunity.com/profiles/76561199485610386/,2.32
76561198300413948,Insidefusion,NZ,0.0,https://steamcommunity.com/profiles/76561198300413948/,0.0
76561198052363969,Tintinbd,BD,32.0,https://steamcommunity.com/id/raiyanhasan/,33.93
76561198283969896,Kazimodo,PL,0.0,https://steamcommunity.com/profiles/76561198283969896/,25.72
76561198854104711,Albanian Knight,US,0.0,https://steamcommunity.com/id/glumperthump/,36.17
76561199241406770,donk love?,MD,0.0,https://steamcommunity.com/id/deniskapaa123/,0.0
76561199278163977,Jaxon,US,0.0,https://steamcommunity.com/profiles/76561199278163977/,20.2
76561198271758443,JumpingNacho,,0.0,https://steamcommunity.com/profiles/76561198271758443/,11.33
76561198095517900,Super BRAIN DAMAGE 4 Deluxe,CA,0.0,https://steamcommunity.com/id/your_mom_69/,66.98
76561198285913426,Chez,,0.0,https://steamcommunity.com/profiles/76561198285913426/,24.72
76561198014399026,xv,,0.0,https://steamcommunity.com/id/xVindicator/,78.22
76561198372871573,Ward_Main,,0.0,https://steamcommunity.com/profiles/76561198372871573/,26.17
76561199566609935,baderchakire,MA,0.0,https://steamcommunity.com/profiles/76561199566609935/,8.27
76561199159430402,~r~𝓐𝓑𝓞𝓓,,0.0,https://steamcommunity.com/profiles/76561199159430402/,59.55
76561198039513588,ShuwitzA,,0.0,https://steamcommunity.com/profiles/76561198039513588/,0.0
